Ticker,Name,Sector,P/E,P/B,PEG,D/E,ROIC,Dividend Yield %,1M %,1Y %,Peter Lynch,Personal Model
WTW,Willis Towers Watson Public Lim,Financial Services,218.57,3.96,,0.73,0.04,0.01,7.46,18.52,0.0,25.0
WAB,Westinghouse Air Brake Technolo,Industrials,28.53,3.03,,0.47,0.11,0.0,-9.61,23.44,0.0,62.5
CCL,Carnival Corporation,Consumer Cyclical,14.85,3.72,,2.86,0.11,0.0,-1.63,92.08,0.0,62.5
OTIS,Otis Worldwide Corporation,Industrials,23.14,-6.4,2.36,0.0,0.8,0.02,-12.25,-6.35,0.85,75.0
IMB.L,IMPERIAL BRANDS PLC ORD 10P,Consumer Defensive,10.04,506.39,0.91,1.97,,0.0,5.8,41.43,2.21,62.5
KEYS,Keysight Technologies Inc.,Technology,38.72,5.17,0.9,0.5,0.13,0.0,0.89,34.26,2.21,87.5
8002.T,MARUBENI CORP,Industrials,10.68,1.48,,0.71,0.05,0.0,8.4,43.5,0.0,25.0
6301.T,KOMATSU,Industrials,10.43,1.46,4.86,0.44,0.04,0.04,3.39,31.1,0.42,50.0
STZ,"Constellation Brands, Inc.",Consumer Defensive,,4.15,,1.54,0.0,0.02,0.03,-29.33,0.0,12.5
HO,,,,,,0.0,,,,,0.0,12.5
SSE.L,SSE PLC ORD 50P,Utilities,16.71,194.95,0.88,0.84,,0.0,-3.5,-3.19,2.26,37.5
OXY,Occidental Petroleum Corporatio,Energy,26.07,1.59,1.26,0.67,0.09,0.02,-3.13,-24.12,1.59,50.0
LPLA,LPL Financial Holdings Inc.,Financial Services,25.31,5.83,1.55,1.45,0.15,0.0,-3.59,88.47,1.29,75.0
MTB,M&T Bank Corporation,Financial Services,12.13,1.12,28.2,0.0,,0.03,-6.79,15.37,0.07,37.5
ASSA-B.ST,ASSA ABLOY AB ser. B,Industrials,25.07,3.67,2.22,0.74,0.14,0.02,9.58,8.17,0.9,75.0
FICO,Fair Isaac Corporation,Technology,51.58,-22.78,1.04,0.0,0.65,0.0,-22.45,-24.62,1.92,75.0
WDS.AX,WOODSIDE FPO [WDS],Energy,9.32,1.44,,0.32,,0.05,12.54,7.62,0.0,37.5
EFX,"Equifax, Inc.",Industrials,46.75,5.82,1.26,0.94,0.11,0.01,-9.22,-13.87,1.59,62.5
UCB,"United Community Banks, Inc.",Financial Services,13.5,1.02,,0.0,,0.03,-5.23,6.91,0.0,37.5
BMW,,,,,,0.0,,,,,0.0,12.5
VTR,"Ventas, Inc.",Real Estate,159.47,2.7,1.74,1.11,0.03,0.03,9.26,15.5,1.15,50.0
TCL.AX,TRANSURBAN STAPLED [TCL],Industrials,691.0,4.18,,1.82,,0.05,2.14,8.14,0.0,0.0
8750.T,DAI-ICHI LIFE HOLDINGS INC,Financial Services,10.44,1.28,2.18,0.83,0.05,0.03,14.14,31.33,0.92,50.0
SMCI,"Super Micro Computer, Inc.",Technology,26.55,4.23,,0.75,0.15,0.0,-9.18,-12.34,0.0,50.0
IR,Ingersoll Rand Inc.,Industrials,58.83,2.99,1.15,0.49,0.08,0.0,-12.78,-15.18,1.74,50.0
WEC,"WEC Energy Group, Inc.",Utilities,21.18,2.69,2.7,1.5,0.08,0.03,6.45,25.43,0.74,37.5
TRGP,"Targa Resources, Inc.",Energy,23.65,13.87,1.44,6.3,0.16,0.0,-5.34,21.67,1.39,62.5
CTSH,Cognizant Technology Solutions ,Technology,14.11,2.23,1.34,0.08,0.21,0.02,-13.79,-6.5,1.49,100.0
HEI,Heico Corporation,Industrials,73.22,10.99,2.89,0.51,0.15,0.0,-1.48,32.62,0.69,62.5
TSCO,Tractor Supply Company,Consumer Cyclical,29.19,12.62,2.8,2.23,0.35,0.01,4.39,13.73,0.72,62.5
BAYN,,,,,,0.0,,,,,0.0,12.5
GIS,"General Mills, Inc.",Consumer Defensive,12.15,2.94,11.51,1.66,0.14,0.05,-3.88,-27.91,0.18,62.5
LEN,Lennar Corporation,Consumer Cyclical,10.01,1.39,1.88,0.2,0.15,0.02,9.45,-26.46,1.07,75.0
SYF,Synchrony Financial,Financial Services,8.44,1.64,,0.0,,0.02,0.2,49.09,0.0,50.0
WSP.TO,WSP GLOBAL INC,Industrials,45.75,4.31,,0.62,0.11,0.01,0.47,30.27,0.0,37.5
IBKR,"Interactive Brokers Group, Inc.",Financial Services,34.69,6.03,,1.17,1.7,0.0,16.41,126.2,0.0,50.0
HUM,Humana Inc.,Healthcare,20.45,1.76,0.88,0.71,0.09,0.01,12.29,-23.99,2.27,37.5
SLHN.SW,SWISS LIFE HOLDING AG N,Financial Services,20.88,3.47,2.63,1.93,,0.04,9.85,36.85,0.76,50.0
ADM,Archer-Daniels-Midland Company,Consumer Defensive,25.15,1.24,,0.47,0.07,0.03,6.03,-1.03,0.0,37.5
7751.T,CANON INC,Technology,24.15,1.24,,0.32,0.03,0.04,8.35,-1.15,0.0,37.5
EXR,Extra Space Storage Inc,Real Estate,29.58,2.1,3.5,0.93,0.06,0.05,-8.99,-17.05,0.57,50.0
FER,Ferrovial SE,Industrials,9.81,6.4,,1.35,0.05,0.01,-0.17,33.45,0.0,37.5
BR,"Broadridge Financial Solutions,",Technology,37.51,11.74,1.9,1.3,0.2,0.01,11.96,24.0,1.05,87.5
FITB,Fifth Third Bancorp,Financial Services,12.97,1.46,2.64,0.0,,0.04,-4.17,5.02,0.76,37.5
EQT,EQT Corporation,Energy,26.99,1.43,0.39,0.33,0.07,0.01,-6.51,64.92,5.07,75.0
WBD,"Warner Bros. Discovery, Inc. - ",Communication Services,35.19,0.75,,0.93,0.05,0.0,-4.38,55.19,0.0,25.0
EME,"EMCOR Group, Inc.",Industrials,25.67,9.07,,0.22,0.46,0.0,14.2,73.77,0.0,75.0
AEE,Ameren Corporation,Utilities,22.28,2.23,2.55,1.61,0.06,0.03,6.73,26.25,0.79,25.0
ACGL,Arch Capital Group Ltd.,Financial Services,9.2,1.5,,0.12,0.17,0.0,-1.53,-10.08,0.0,62.5
AAL.L,ANGLO AMERICAN PLC ORD USD0.549,Basic Materials,,133.88,3.12,0.66,,0.0,-2.38,-0.35,0.0,0.0
DD,"DuPont de Nemours, Inc.",Basic Materials,414.53,1.28,0.65,0.33,0.03,0.02,-5.37,-10.26,3.09,50.0
AHT.L,ASHTEAD GROUP PLC ORD 10P,Industrials,19.54,284.35,1.13,1.35,0.17,0.0,7.47,-2.28,1.76,75.0
DXCM,"DexCom, Inc.",Healthcare,53.65,12.02,1.23,1.0,0.16,0.0,-5.85,13.04,1.62,75.0
NTR.TO,NUTRIEN LTD,Basic Materials,20.01,1.49,,0.54,0.07,0.03,-8.76,21.19,0.0,37.5
HPE,Hewlett Packard Enterprise Comp,Technology,20.01,1.14,11.22,0.73,0.05,0.03,-0.05,20.01,0.18,37.5
EBS,Emergent BioSolutions Inc.,Healthcare,,0.86,,1.25,-0.0,0.0,24.75,20.87,0.0,25.0
AWK,"American Water Works Company, I",Utilities,26.19,2.65,3.74,1.41,0.08,0.02,3.08,2.16,0.54,25.0
SEB-A.ST,Skandinaviska Enskilda Banken s,Financial Services,10.84,1.61,,0.0,,0.05,6.18,16.91,0.0,37.5
ORA,"Ormat Technologies, Inc.",Utilities,40.13,2.11,4.52,1.04,0.05,0.0,0.27,19.54,0.44,25.0
ODFL,"Old Dominion Freight Line, Inc.",Industrials,28.44,7.19,3.01,0.04,0.33,0.01,-13.69,-25.24,0.67,75.0
JBL,Jabil Inc.,Technology,42.01,18.74,,2.65,0.26,0.0,1.12,119.66,0.0,50.0
IRM,Iron Mountain Incorporated (Del,Real Estate,644.0,-34.69,,0.0,0.06,0.03,-9.47,-16.86,0.0,12.5
8630.T,SOMPO HOLDINGS INC,Financial Services,18.76,1.05,1.75,0.2,0.06,0.03,13.12,59.2,1.15,50.0
ALL.AX,ARISTOCRAT FPO [ALL],Consumer Cyclical,40.06,6.1,,0.3,,0.01,3.35,35.45,0.0,50.0
L.TO,LOBLAW CO,Consumer Defensive,28.26,6.15,,1.76,0.22,0.01,1.35,38.59,0.0,50.0
FCNCA,"First Citizens BancShares, Inc.",Financial Services,10.8,1.12,,0.0,,0.0,-11.52,-7.4,0.0,25.0
PTC,PTC Inc.,Technology,48.33,7.0,1.71,0.4,0.16,0.0,14.82,18.64,1.17,87.5
6902.T,DENSO CORP,Consumer Cyclical,14.51,1.2,1.18,0.17,0.04,0.03,8.54,-0.4,1.69,62.5
6954.T,FANUC CORPORATION,Industrials,27.78,2.38,2.54,0.0,0.04,0.02,16.52,11.58,0.79,50.0
DSFIR,,,,,,0.0,,,,,0.0,12.5
STLD,"Steel Dynamics, Inc.",Basic Materials,17.88,2.06,,0.43,0.12,0.02,-9.57,3.01,0.0,37.5
FFIV,"F5, Inc.",Technology,28.4,5.36,1.17,0.07,0.22,0.0,6.4,67.59,1.72,100.0
SHL,,,,,,0.0,,,,,0.0,12.5
ACA,"Arcosa, Inc.",Industrials,60.33,1.87,,0.67,0.05,0.0,6.55,17.94,0.0,25.0
4503.T,ASTELLAS PHARMA,Healthcare,57.21,1.95,,0.6,-0.01,0.05,18.35,-3.87,0.0,25.0
EXE,Expand Energy Corporation,Energy,,1.31,0.33,0.29,0.02,0.02,-6.81,36.71,0.0,37.5
TWLO,Twilio Inc.,Technology,,1.88,,0.14,0.0,0.0,-19.2,63.33,0.0,25.0
LII,"Lennox International, Inc.",Industrials,24.88,22.71,2.14,1.72,0.52,0.01,-2.08,3.46,0.93,87.5
GPN,Global Payments Inc.,Industrials,13.8,0.87,0.63,0.71,0.06,0.01,0.42,-20.63,3.2,50.0
FMG.AX,FORTESCUE FPO [FMG],Basic Materials,9.67,3.02,,0.28,,0.05,16.14,4.14,0.0,50.0
NI,NiSource Inc,Utilities,22.49,2.24,2.59,1.43,0.07,0.03,8.41,34.86,0.77,37.5
QSR.TO,RESTAURANT BRANDS INTERNATIONAL,Consumer Cyclical,21.86,8.77,,3.1,0.13,0.03,-4.92,-10.2,0.0,50.0
CBOE,"Cboe Global Markets, Inc.",Financial Services,29.68,5.66,,0.34,0.22,0.01,8.62,25.77,0.0,75.0
PPL,PPL Corporation,Utilities,27.33,1.88,1.37,1.25,0.06,0.03,8.25,19.1,1.46,37.5
GEBN.SW,GEBERIT N,Industrials,35.76,16.27,4.25,1.05,,0.0,5.62,22.57,0.47,25.0
6273.T,SMC CORP,Industrials,20.44,1.65,,0.0,0.06,0.02,1.17,-22.91,0.0,37.5
BAM.TO,BROOKFIELD ASSET MANAGEMENT LTD,Financial Services,41.75,15.0,,0.14,0.14,0.0,11.55,54.96,0.0,50.0
FE,FirstEnergy Corp.,Utilities,19.06,1.94,1.32,1.82,0.07,0.04,8.45,3.07,1.52,50.0
RWE,,,,,,0.0,,,,,0.0,12.5
DTG,DTE Energy Company 2021 Series ,,,,,0.0,,,1.55,-10.43,0.0,12.5
MKL,Markel Group Inc.,Financial Services,11.46,1.4,,0.24,0.15,0.0,-4.35,25.53,0.0,62.5
TYL,"Tyler Technologies, Inc.",Technology,85.4,7.07,3.18,0.18,0.09,0.0,1.59,3.32,0.63,50.0
SAMPO,,,,,,0.0,,,,,0.0,12.5
MTD,"Mettler-Toledo International, I",Healthcare,31.83,-99.97,3.81,0.0,0.57,0.0,4.1,-10.11,0.53,62.5
WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,23.08,11.35,3.09,0.63,0.65,0.01,17.85,41.44,0.65,62.5
ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,19.49,9.23,2.86,0.81,0.65,0.0,3.1,54.64,0.7,62.5
PPG,"PPG Industries, Inc.",Basic Materials,19.34,3.19,0.75,1.06,0.13,0.03,-8.91,-10.31,2.68,75.0
KHC,The Kraft Heinz Company,Consumer Defensive,,0.79,1.02,0.51,-0.11,0.06,5.03,-21.29,0.0,25.0
6981.T,MURATA MANUFACTURING CO,Technology,20.66,1.76,2.34,0.02,0.12,0.02,13.5,-14.0,0.85,75.0
FTS.TO,FORTIS INC,Utilities,20.56,1.6,,1.32,0.07,0.03,9.1,18.25,0.0,25.0
NVR,"NVR, Inc.",Consumer Cyclical,16.62,5.89,,0.28,0.42,0.0,4.53,-7.61,0.0,62.5
WDC,Western Digital Corporation,Technology,16.85,4.91,0.77,0.0,0.15,0.0,17.1,66.2,2.59,87.5
CHTR,"Charter Communications, Inc.",Communication Services,7.02,2.16,0.61,4.73,0.11,0.0,-37.67,-29.59,3.27,75.0
8591.T,ORIX CORPORATION,Financial Services,11.32,1.01,,1.51,,0.03,13.87,15.98,0.0,25.0
6752.T,PANASONIC HOLDINGS CORP,Technology,9.74,0.78,,0.33,0.04,0.03,4.34,46.15,0.0,25.0
RF,Regions Financial Corporation,Financial Services,11.64,1.29,2.09,0.0,,0.04,1.05,20.21,0.96,62.5
VNA,,,,,,0.0,,,,,0.0,12.5
TDY,Teledyne Technologies Incorpora,Technology,30.3,2.47,,0.25,0.08,0.0,6.0,33.47,0.0,50.0
LYV,"Live Nation Entertainment, Inc.",Communication Services,51.91,99.69,5.1,3.65,0.16,0.0,6.02,66.12,0.39,50.0
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,22.72,10.23,1.97,3.38,0.3,0.03,-7.18,41.16,1.02,75.0
LDOS,"Leidos Holdings, Inc.",Technology,16.65,4.86,,1.21,0.21,0.01,8.89,22.39,0.0,62.5
SAND.ST,Sandvik AB,Industrials,20.88,3.44,2.23,0.58,0.24,0.02,7.55,17.7,0.9,75.0
AMRZ.SW,AMRIZE N,Basic Materials,18.62,2.23,1.5,0.98,0.05,0.0,-3.99,-16.75,1.33,37.5
RIO.AX,RIO TINTO FPO [RIO],Basic Materials,11.76,3.17,,0.38,,0.03,5.02,-0.47,0.0,50.0
RYA,,,,,,0.0,,,,,0.0,12.5
FANG,"Diamondback Energy, Inc.",Energy,10.23,1.06,,0.35,0.1,0.03,-1.2,-28.9,0.0,37.5
PHM,"PulteGroup, Inc.",Consumer Cyclical,9.1,1.91,0.36,0.18,0.24,0.01,11.72,-1.12,5.51,87.5
VOD.L,VODAFONE GROUP PLC ORD USD0.20 ,Communication Services,,40.03,,1.02,,0.0,5.12,14.86,0.0,12.5
HUBS,"HubSpot, Inc.",Technology,,11.48,3.28,0.14,0.01,0.0,-19.32,-4.84,0.0,25.0
HPQ,HP Inc.,Technology,10.04,-19.27,1.56,0.0,0.37,0.04,1.2,-22.15,1.28,75.0
CMS,CMS Energy Corporation,Utilities,21.68,2.69,3.02,2.01,0.07,0.03,5.92,12.35,0.66,25.0
CCEP,Coca-Cola Europacific Partners ,Consumer Defensive,24.3,5.4,1.66,1.43,,0.02,-1.29,28.65,1.21,75.0
CPAY,"Corpay, Inc.",Technology,20.71,5.42,,2.05,0.15,0.0,-9.16,6.22,0.0,62.5
IP,International Paper Company,Consumer Cyclical,,1.37,1.36,0.56,0.01,0.04,-6.03,7.22,0.0,25.0
VIE,,,,,,0.0,,,,,0.0,12.5
SDZ.SW,SANDOZ GROUP N,Healthcare,,2.5,,0.0,,0.01,7.38,35.39,0.0,37.5
PINS,"Pinterest, Inc.",Communication Services,12.92,4.37,0.96,0.03,0.04,0.0,-1.76,21.18,2.07,87.5
EXPE,"Expedia Group, Inc.",Consumer Cyclical,23.27,27.79,0.83,3.11,0.24,0.0,9.97,50.19,2.4,75.0
KBC,,,,,,0.0,,,,,0.0,12.5
6146.T,DISCO CORPORATION,Technology,35.62,9.07,,0.0,0.16,0.01,-3.24,-3.77,0.0,37.5
Z74.SI,Singtel,Communication Services,16.58,2.64,2.22,0.45,,0.04,0.76,36.3,0.9,62.5
MTX,Minerals Technologies Inc.,Basic Materials,5798.0,1.1,,0.58,0.03,0.01,-0.99,-17.68,0.0,25.0
DANSKE.CO,Danske Bank A/S,Financial Services,9.5,1.27,,0.0,,0.04,1.92,34.18,0.0,25.0
CNP,"CenterPoint Energy, Inc (Holdin",Utilities,27.15,2.3,2.54,1.96,0.06,0.02,8.46,46.69,0.79,25.0
ATO,Atmos Energy Corporation,Utilities,22.54,1.97,2.68,0.67,0.07,0.02,8.09,28.3,0.75,37.5
K,Kellanova,Consumer Defensive,20.96,6.77,3.53,1.55,0.19,0.03,0.91,6.93,0.57,62.5
LDO,,,,,,0.0,,,,,0.0,12.5
TRMB,Trimble Inc.,Technology,70.39,3.51,2.86,0.27,0.06,0.0,5.61,62.19,0.7,37.5
4661.T,ORIENTAL LAND CO,Consumer Cyclical,42.66,5.29,8.38,0.27,0.07,0.0,2.77,-17.74,0.24,37.5
LUMI.TA,BK LEUMI LE ISRAEL,Financial Services,9.57,140.29,,0.0,,0.0,-4.15,86.2,0.0,37.5
EQR,Equity Residential,Real Estate,23.76,2.18,,0.75,0.07,0.04,-5.13,-11.42,0.0,25.0
HEXA-B.ST,Hexagon AB ser. B,Technology,28.01,29.29,3.31,0.44,0.09,0.0,13.57,8.38,0.6,50.0
6762.T,TDK CORP,Technology,21.65,2.03,2.18,0.37,0.01,0.02,16.59,6.01,0.92,62.5
WOW.AX,WOOLWORTHS FPO [WOW],Consumer Defensive,23.69,7.5,,3.37,,0.03,1.58,-6.8,0.0,37.5
4543.T,TERUMO CORP,Healthcare,34.65,2.95,2.34,0.15,0.05,0.01,11.29,10.06,0.86,75.0
LH,Labcorp Holdings Inc.,Healthcare,29.31,2.6,0.96,0.78,0.09,0.01,3.26,17.39,2.09,62.5
DLTR,"Dollar Tree, Inc.",Consumer Defensive,22.9,6.25,,2.03,0.21,0.0,11.24,22.17,0.0,62.5
NTRS,Northern Trust Corporation,Financial Services,14.75,2.01,7.11,0.0,,0.02,-0.25,49.07,0.28,37.5
CLS.TO,CELESTICA INC,Technology,45.16,18.7,,0.58,0.27,0.0,34.16,350.61,0.0,50.0
ES,Eversource Energy (D/B/A),Utilities,28.4,1.54,1.0,1.88,0.05,0.04,0.74,0.2,2.01,37.5
CHD,"Church & Dwight Company, Inc.",Consumer Defensive,42.89,5.04,2.3,0.55,0.12,0.01,-7.26,-11.08,0.87,50.0
VRSN,"VeriSign, Inc.",Technology,32.45,-12.76,2.25,0.0,-5.37,0.0,-5.22,55.36,0.89,62.5
TEF,Telefonica SA,Communication Services,,1.76,0.43,2.13,0.25,0.03,3.45,22.17,0.0,37.5
ATCO-B.ST,Atlas Copco AB ser. B,Industrials,22.77,6.33,2.47,0.35,0.36,0.02,-4.31,-15.79,0.81,87.5
EQNR.OL,EQUINOR,Energy,8.16,15.81,,0.82,0.43,0.01,-3.29,-13.42,0.0,50.0
AENA,,,,,,0.0,,,,,0.0,12.5
POW.TO,"POWER CORPORATION OF CANADA, SV",Financial Services,13.85,1.6,,0.49,0.17,0.04,10.49,59.38,0.0,37.5
CVE.TO,CENOVUS ENERGY INC.,Energy,14.22,1.26,,0.36,0.11,0.04,2.4,-18.25,0.0,50.0
HUBB,Hubbell Inc,Industrials,27.15,6.38,2.41,0.57,0.21,0.01,1.49,11.05,0.83,87.5
HBAN,Huntington Bancshares Incorpora,Financial Services,12.01,1.24,2.03,0.0,,0.04,-7.95,18.22,0.99,62.5
DSY,Big Tree Cloud Holdings Limited,Consumer Defensive,39.33,-14.75,,0.0,,0.0,-9.23,-19.73,0.0,50.0
SBAC,SBA Communications Corporation,Real Estate,27.13,-4.81,1.69,0.0,0.17,0.02,-5.72,3.73,1.18,87.5
K.TO,KINROSS GOLD CORP.,Basic Materials,15.27,4.21,,0.16,0.27,0.0,25.58,125.56,0.0,75.0
SWED-A.ST,Swedbank AB ser A,Financial Services,8.91,1.44,,0.0,,0.08,6.32,28.81,0.0,37.5
LULU,lululemon athletica inc.,Consumer Cyclical,12.89,5.3,0.81,0.4,0.59,0.0,-20.59,-20.65,2.46,87.5
2802.T,AJINOMOTO CO INC,Consumer Defensive,114.04,5.58,,0.73,0.06,0.0,0.91,56.15,0.0,25.0
RI,512614,,,,,0.0,,,,,0.0,12.5
CINF,Cincinnati Financial Corporatio,Financial Services,13.01,1.64,,0.06,0.15,0.02,2.77,17.12,0.0,62.5
GDDY,GoDaddy Inc.,Technology,25.64,45.75,2.43,9.54,0.25,0.0,-24.68,-15.35,0.82,87.5
5802.T,SUMITOMO ELECTRIC INDUSTRIES,Consumer Cyclical,15.82,1.35,,0.29,0.07,0.02,20.27,89.03,0.0,25.0
EIX,Edison International,Utilities,7.9,1.38,0.6,2.1,0.1,0.06,5.97,-34.41,3.34,50.0
PPL.TO,PEMBINA PIPELINE CORPORATION,Energy,15.98,1.67,,0.78,0.11,0.05,-2.34,-7.72,0.0,37.5
7832.T,BANDAI NAMCO HOLDINGS INC,Consumer Cyclical,26.88,4.32,,0.0,0.09,0.01,15.31,76.35,0.0,50.0
9020.T,EAST JAPAN RAILWAY CO,Industrials,17.73,1.37,11.98,1.59,0.02,0.02,11.37,35.52,0.17,25.0
4578.T,OTSUKA HLDGS CO LTD,Healthcare,10.26,1.52,,0.08,0.03,0.02,17.96,2.76,0.0,62.5
SW,Smurfit WestRock plc,Consumer Cyclical,167.81,1.24,0.37,0.78,0.04,0.0,-7.41,11.99,5.45,25.0
CAP,,,,,,0.0,,,,,0.0,12.5
QBE.AX,QBE INSUR. FPO [QBE],Financial Services,10.49,3.0,,0.27,,0.0,-5.44,30.99,0.0,37.5
ML,,,,,,0.0,,,,,0.0,12.5
BRO,"Brown & Brown, Inc.",Financial Services,26.99,2.67,,0.67,0.08,0.01,-12.68,-6.65,0.0,25.0
5108.T,BRIDGESTONE CORP,Consumer Cyclical,16.36,1.25,,0.19,0.1,0.03,9.48,15.77,0.0,37.5
HEIA,,,,,,0.0,,,,,0.0,12.5
4901.T,FUJIFILM HOLDINGS CORPORATION,Industrials,16.07,1.23,,0.26,0.02,0.02,14.78,4.35,0.0,25.0
STE,STERIS plc (Ireland),Healthcare,36.08,3.43,1.91,0.27,0.1,0.01,4.42,2.91,1.04,87.5
BT.A.L,,,,,,0.0,,,,,0.0,12.5
NXT.L,NEXT PLC ORD 10P,Consumer Cyclical,19.36,841.64,,1.07,,0.0,-3.77,23.55,0.0,37.5
ASM,Avino Silver & Gold Mines Ltd.,Basic Materials,38.1,4.08,,0.04,0.17,0.0,7.93,348.24,0.0,62.5
BXB.AX,BRAMB LTD FPO [BXB],Industrials,25.26,10.12,,0.85,,0.02,-0.17,57.67,0.0,37.5
WRB,W.R. Berkley Corporation,Financial Services,16.05,2.88,11.49,0.33,0.2,0.0,0.37,23.63,0.17,75.0
VOW3,,,,,,0.0,,,,,0.0,12.5
6723.T,RENESAS ELECTRONICS CORP,Technology,,1.54,1.9,0.66,0.08,0.02,-9.3,-20.71,0.0,12.5
NSIS-B.CO,Novonesis (Novozymes A/S) B,Basic Materials,56.72,17.42,0.24,0.15,0.07,0.0,-7.84,-0.78,8.27,50.0
GIB.A.TO,,,,,,0.0,,,,,0.0,12.5
NOKIA,,,,,,0.0,,,,,0.0,12.5
PRY,,,,,,0.0,,,,,0.0,12.5
8802.T,MITSUBISHI ESTATE CO,Real Estate,20.28,1.52,,1.29,0.04,0.01,13.94,33.67,0.0,25.0
KNEBV,,,,,,0.0,,,,,0.0,12.5
CYBR,CyberArk Software Ltd.,Technology,,8.64,5.2,0.53,-0.01,0.0,1.16,46.05,0.0,12.5
AER,AerCap Holdings N.V.,Industrials,6.89,1.07,,2.58,0.03,0.01,-4.26,20.2,0.0,37.5
2388.HK,BOC HONG KONG,Financial Services,10.19,1.15,,0.0,,0.05,3.36,68.11,0.0,25.0
CFG,"Citizens Financial Group, Inc.",Financial Services,14.41,0.88,,0.0,,0.04,-0.53,19.42,0.0,25.0
4452.T,KAO CORP,Consumer Defensive,28.09,3.04,3.54,0.22,0.06,0.02,6.2,8.8,0.57,50.0
LVS,Las Vegas Sands Corp.,Consumer Cyclical,26.58,18.16,1.11,6.93,0.15,0.02,7.17,36.45,1.81,87.5
DGX,Quest Diagnostics Incorporated,Healthcare,21.19,2.74,1.53,0.87,0.12,0.02,2.59,18.52,1.31,87.5
ERIC-B.ST,"Ericsson, Telefonab. L M ser. B",Technology,13.98,2.79,,0.51,0.23,0.04,-11.55,3.39,0.0,50.0
9022.T,CENTRAL JAPAN RAILWAY CO,Industrials,8.17,0.79,,1.01,0.03,0.01,16.57,15.97,0.0,12.5
TOST,"Toast, Inc.",Technology,110.46,13.77,0.41,0.01,0.11,0.0,-1.06,82.31,4.84,87.5
16.HK,,,,,,0.0,,,,,0.0,12.5
CDW,CDW Corporation,Technology,20.11,8.66,,2.51,0.21,0.02,-9.81,-23.77,0.0,50.0
AMCR,Amcor plc,Consumer Cyclical,17.27,3.63,1.93,2.41,0.11,0.05,-1.53,-8.43,1.04,75.0
HSY,The Hershey Company,Consumer Defensive,24.44,8.27,52.26,1.33,0.19,0.03,8.44,-8.55,0.04,62.5
DOV,Dover Corporation,Industrials,22.42,3.2,2.44,0.41,0.14,0.01,-7.91,-1.54,0.82,87.5
VLTO,Veralto Corp,Industrials,30.0,10.07,4.02,1.08,0.23,0.0,5.25,1.51,0.5,62.5
AVB,"AvalonBay Communities, Inc.",Real Estate,22.97,2.2,6.97,0.71,0.07,0.04,-7.29,-11.25,0.29,25.0
AV..L,,,,,,0.0,,,,,0.0,12.5
TROW,"T. Rowe Price Group, Inc.",Financial Services,11.76,2.19,7.04,0.04,0.23,0.05,5.33,-0.28,0.29,75.0
BZFUT,,,,,,0.0,,,,,0.0,12.5
8801.T,MITSUI FUDOSAN,Real Estate,17.48,1.35,,1.36,0.02,0.02,14.05,8.38,0.0,12.5
7182.T,JAPAN POST BANK CO LTD,Financial Services,15.24,0.7,,0.0,,0.03,10.92,28.17,0.0,37.5
PHIA,,,,,,0.0,,,,,0.0,12.5
PUB,,,,,,0.0,,,,,0.0,12.5
MDB,"MongoDB, Inc.",Technology,,5.64,,0.02,-0.03,0.0,0.13,-10.95,0.0,25.0
5401.T,NIPPON STEEL CORPORATION,Basic Materials,8.91,0.63,,0.93,0.07,0.05,8.11,-4.08,0.0,12.5
RBA.TO,RB GLOBAL INC,Industrials,56.29,5.34,,0.74,0.09,0.01,9.61,46.12,0.0,12.5
DNB.OL,DNB BANK ASA,Financial Services,8.9,1.55,,0.0,,0.06,-5.98,24.22,0.0,37.5
8267.T,AEON CO LTD,Consumer Cyclical,270.31,4.75,,1.77,0.05,0.01,18.75,55.97,0.0,0.0
DVN,Devon Energy Corporation,Energy,7.5,1.41,,0.59,0.18,0.04,-4.7,-25.91,0.0,37.5
FWONK,Liberty Media Corporation - Ser,Communication Services,1600.0,3.24,12.52,0.65,0.05,0.0,-5.47,30.17,0.16,25.0
8604.T,NOMURA HOLDINGS INC.,Financial Services,8.35,0.87,,9.1,,0.05,11.76,41.47,0.0,25.0
5803.T,FUJIKURA,Industrials,33.59,7.33,,0.33,0.06,0.0,41.97,337.16,0.0,50.0
FSLR,"First Solar, Inc.",Technology,15.8,2.32,0.45,0.12,0.15,0.0,11.58,-12.82,4.49,75.0
SSNC,"SS&C Technologies Holdings, Inc",Technology,27.38,3.05,1.01,1.0,0.1,0.01,4.29,22.81,1.97,62.5
LGEN.L,LEGAL & GENERAL GROUP PLC ORD 2,Financial Services,64.0,773.41,,11.16,,0.0,2.65,16.21,0.0,25.0
NTAP,"NetApp, Inc.",Technology,18.73,20.53,1.5,3.36,0.34,0.02,-0.42,-13.29,1.34,87.5
ON,ON Semiconductor Corporation,Technology,45.39,2.47,1.89,0.46,0.05,0.0,-17.29,-33.16,1.06,50.0
ADM.L,ADMIRAL GROUP PLC ORD 0.1P,Financial Services,15.44,740.82,9.31,1.02,,0.0,1.27,25.85,0.21,62.5
AKAM,"Akamai Technologies, Inc.",Technology,23.67,2.29,1.04,1.18,0.07,0.0,-12.54,-30.52,1.91,50.0
PME.AX,PROMEDICUS FPO [PME],Healthcare,331.72,145.04,,0.01,,0.0,-1.81,147.71,0.0,50.0
